City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
265,Sakaiminato,JP,2021-04-06 16:51:47,35.55,133.2333,41.0,100,20,5.75
266,Isangel,VU,2021-04-06 16:51:47,-19.55,169.2667,74.73,83,59,10.76
267,Mahajanga,MG,2021-04-06 16:51:47,-15.7167,46.3167,82.4,78,20,8.05
268,Kiunga,PG,2021-04-06 16:51:48,-6.1219,141.2906,72.93,99,100,1.97
269,Slave Lake,CA,2021-04-06 16:50:24,55.2834,-114.769,37.4,70,1,5.75
270,Podolinec,SK,2021-04-06 16:51:48,49.2587,20.536,32.0,51,40,11.5
271,Antalaha,MG,2021-04-06 16:51:49,-14.9003,50.2788,78.87,82,26,1.12
272,Shache,CN,2021-04-06 16:51:49,38.4167,77.2406,44.58,81,100,15.97
273,Havelock,US,2021-04-06 16:51:50,34.8791,-76.9013,78.01,32,1,8.99
274,Tigil,RU,2021-04-06 16:51:50,57.8,158.6667,10.13,95,99,4.07
275,Sinnamary,GF,2021-04-06 16:51:50,5.3833,-52.95,82.9,73,63,11.65
276,Sao Filipe,CV,2021-04-06 16:51:51,14.8961,-24.4956,77.72,60,0,6.64
277,Guajara,BR,2021-04-06 16:51:51,-2.9667,-57.6667,87.8,60,99,3.83
278,Bodmin,GB,2021-04-06 16:51:52,50.4715,-4.7243,42.8,56,20,16.11
279,Urucara,BR,2021-04-06 16:51:52,-2.5364,-57.76,86.61,62,100,4.0
280,Nelson Bay,AU,2021-04-06 16:51:53,-32.7167,152.15,66.2,100,90,5.55
281,Izhma,RU,2021-04-06 16:51:53,65.0083,53.9113,36.41,82,100,8.05
282,Gambela,ET,2021-04-06 16:51:54,8.25,34.5833,86.4,44,42,3.15
283,Ust-Nera,RU,2021-04-06 16:51:54,64.5667,143.2,2.93,99,100,2.77
284,Guarapari,BR,2021-04-06 16:51:54,-20.6667,-40.4975,82.0,65,20,16.11
285,Te Anau,NZ,2021-04-06 16:51:55,-45.4167,167.7167,45.81,92,92,0.54
286,La Ronge,CA,2021-04-06 16:51:55,55.1001,-105.2842,39.2,56,78,2.3
287,Luanda,AO,2021-04-06 16:49:56,-8.8368,13.2343,84.2,79,40,6.91
288,Cruz Alta,BR,2021-04-06 16:50:16,-28.6386,-53.6064,82.15,38,5,4.05
289,Hulan Ergi,CN,2021-04-06 16:51:56,47.2042,123.6333,30.04,25,0,6.67
290,Flinders,AU,2021-04-06 16:51:56,-34.5833,150.8552,68.0,93,15,1.01
291,Ahipara,NZ,2021-04-06 16:51:57,-35.1667,173.1667,61.81,88,99,8.81
292,Batouri,CM,2021-04-06 16:51:57,4.4333,14.3667,86.9,34,94,3.47
